MsgID.GLOBAL_POSITION,1522176158.9737782,-122.3974500,37.7924799,0.0220000
MsgID.LOCAL_VELOCITY,1522176158.9737782,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1522176158.9740252,-0.0019684,-0.0040124,-0.0224901
MsgID.LOCAL_VELOCITY,1522176158.9740252,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1522176158.9741910,-122.3974501,37.7924815,-0.0060000
MsgID.LOCAL_VELOCITY,1522176158.9741910,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1522176158.9743292,0.1714950,-0.0143373,0.0063691
MsgID.LOCAL_VELOCITY,1522176158.9743292,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1522176158.9744623,-122.3974519,37.7924811,-0.0280000
MsgID.LOCAL_VELOCITY,1522176158.9744623,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1522176158.9745996,0.1271735,-0.1757739,0.0282731
MsgID.LOCAL_VELOCITY,1522176158.9745996,0.0000000,0.0000000,-0.0000000
MsgID.STATE,1522176158.9748738,False,False
MsgID.GLOBAL_HOME,1522176158.9754972,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,1522176158.9756238,-122.3974508,37.7924801,-0.0460000
MsgID.LOCAL_VELOCITY,1522176158.9756238,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1522176158.9757648,0.0138970,-0.0701066,0.0471250
MsgID.LOCAL_VELOCITY,1522176158.9757648,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1522176159.0263782,-122.3974485,37.7924800,-0.0560000
MsgID.LOCAL_VELOCITY,1522176159.0263782,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1522176159.0266042,0.0073104,0.1319623,0.0565382
MsgID.LOCAL_VELOCITY,1522176159.0266042,-0.0000607,-0.0001579,-0.0033598
MsgID.GLOBAL_POSITION,1522176159.2763591,-122.3974507,37.7924800,0.0930000
MsgID.LOCAL_VELOCITY,1522176159.2763591,0.0000000,-0.0100000,-0.6500000
MsgID.LOCAL_POSITION,1522176159.2765758,0.0070295,-0.0639009,-0.0934859
MsgID.LOCAL_VELOCITY,1522176159.2765758,-0.0038333,-0.0116306,-0.6558871
MsgID.GLOBAL_POSITION,1522176159.5276890,-122.3974514,37.7924800,0.1660000
MsgID.LOCAL_VELOCITY,1522176159.5276890,0.0000000,0.0000000,0.1100000
MsgID.LOCAL_POSITION,1522176159.5279396,0.0056522,-0.1282023,-0.1668567
MsgID.LOCAL_VELOCITY,1522176159.5279396,-0.0076487,-0.0058978,0.1196156
MsgID.STATE,1522176159.6922746,True,True
MsgID.GLOBAL_HOME,1522176195.7385881,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,1522176195.7388220,-122.3974496,37.7924800,0.1040000
MsgID.LOCAL_VELOCITY,1522176195.7388220,0.0000000,0.0000000,0.2600000
MsgID.LOCAL_POSITION,1522176195.7390811,-0.0486923,0.3254532,-0.1048087
MsgID.LOCAL_VELOCITY,1522176195.7390811,-0.0088785,0.0063299,0.2664255
MsgID.GLOBAL_POSITION,1522176195.7393351,-122.3974486,37.7924800,0.1040000
MsgID.LOCAL_VELOCITY,1522176195.7393351,0.0000000,-0.0100000,0.0800000
MsgID.LOCAL_POSITION,1522176195.7396078,-0.0507744,0.4162148,-0.1042626
MsgID.LOCAL_VELOCITY,1522176195.7396078,-0.0088770,-0.0188750,0.0854155
MsgID.GLOBAL_POSITION,1522176195.7399681,-122.3974512,37.7924794,0.1300000
MsgID.LOCAL_VELOCITY,1522176195.7399681,0.0000000,-0.0400000,0.1200000
MsgID.LOCAL_POSITION,1522176195.7402287,-0.1167597,0.1862387,-0.1308170
MsgID.LOCAL_VELOCITY,1522176195.7402287,-0.0054396,-0.0489907,0.1203860
MsgID.GLOBAL_POSITION,1522176195.7404511,-122.3974516,37.7924786,0.1290000
MsgID.LOCAL_VELOCITY,1522176195.7404511,0.0000000,-0.0400000,0.2300000
MsgID.LOCAL_POSITION,1522176195.7406950,-0.2029173,0.1456670,-0.1297147
MsgID.LOCAL_VELOCITY,1522176195.7406950,0.0027439,-0.0492296,0.2327422
MsgID.STATE,1522176195.7411561,True,True
MsgID.GLOBAL_HOME,1522176195.7417567,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1522176195.7419922,-122.3974522,37.7924800,0.1490000
MsgID.LOCAL_VELOCITY,1522176195.7419922,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1522176195.7422717,-0.0465877,0.0897617,-0.1497449
MsgID.LOCAL_VELOCITY,1522176195.7422717,-0.0000031,-0.0000085,-0.0000016
MsgID.GLOBAL_POSITION,1522176195.7425406,-122.3974521,37.7924806,0.1830000
MsgID.LOCAL_VELOCITY,1522176195.7425406,0.0000000,0.0000000,0.0000000
